"Kode","Stednavn","region","big_category_code","big_category","small_category_code","small_category","west_of_Helsingør","decLatitude","decLongitude","Modern_Country","Modern_name","Province","Remark","Zoom"
"081LIT","List","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","55.01916600","8.43111100","Germany","List","Schleswig-Holstein",,"11"
"081MAO","Mandø","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","55.26666600","8.53333300","Denmark","Mandø","South Denmark",,"11"
"081REN","Rendsborg","Hertugdømmerne","1","The Baltic","2","Holstein","false","54.30000000","9.66666600","Germany","Rendsburg","Schleswig-Holstein",,"11"
"081ROM","Rømø","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","55.13333300","8.51666600","Denmark","Rømø","South Denmark",,"11"
"081STH","Steinberghaff","Hertugdømmerne","1","The Baltic","2","Holstein","false","54.76555500","9.81638800","Germany","Steinberghaff","Schleswig-Holstein",,"11"
"081VOG","Vogelsang","Hertugdømmerne","1","The Baltic","2","Holstein","false","54.43333300","9.70000000","Germany","Vogelsang","Schleswig-Holstein",,"11"
"082BAO","Bad Oldesloe","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","53.81166600","10.37416600","Germany","Bad Oldesloe","Schleswig-Holstein",,"11"
"082DAG","Dagebøl","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.72916600","8.70083300","Germany","Dagebüll","Schleswig-Holstein",,"11"
"082DAL","Daler","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.96944400","8.74333300","Denmark","Daler","South Denmark",,"11"
"082EID","Eiderstedt","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.34880000","8.79440000","Germany","Eiderstedt","Schleswig-Holstein",,"11"
"082FOE","Før","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.71666600","8.50000000","Germany","Föhr","Schleswig-Holstein",,"11"
"082FRR","Friederichsstad","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.37555500","9.08666600","Germany","Friedrichstadt","Schleswig-Holstein",,"11"
"082GAM","Galmsbøl","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.78333300","8.73333300","Germany","Neugalmsbüll","Schleswig-Holstein",,"11"
"082HOF","Hohnerfæhre","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.28630000","9.39650000","Germany","Hohnerfähre","Schleswig-Holstein",,"11"
"082HOO","Hooge","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.56666600","8.55000000","Germany","Hooge","Schleswig-Holstein",,"11"
"082HUS","Husum","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.48555500","9.05222200","Germany","Husum (D)","Schleswig-Holstein",,"11"
"082KAR","Kjargaard","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.98354000","8.70611100","Denmark","Kærgård","South Denmark",,"11"
"082NOA","Nordmarsch","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.63333300","8.53333300","Germany","Nordmarsch","Schleswig-Holstein",,"11"
"082NOS","Nordstrand","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.50000000","8.88333300","Germany","Nordstrand","Schleswig-Holstein",,"11"
"082NSS","Norderstapel","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.35000000","9.25000000","Germany","Norderstapel","Schleswig-Holstein",,"11"
"082OLA","Oland","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.67583300","8.70361100","Germany","Oland (D)","Schleswig-Holstein",,"11"
"082SIL","Sild","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.90000000","8.33333300","Germany","Sylt","Schleswig-Holstein",,"11"
"082TND","Tønder","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.93305500","8.86666600","Denmark","Tønder","South Denmark",,"11"
"082TNI","Tønningen","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.31666600","8.95000000","Germany","Tönning","Schleswig-Holstein",,"11"
"083TIE","Tielen","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.28305500","9.33333300","Germany","Tielen","Schleswig-Holstein",,"11"
"084ALT","Altona","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","53.55000000","9.93333300","Germany","Hamburg","Hamburg",,"11"
"084KRO","Krokau","Hertugdømmerne","1","The Baltic","2","Holstein","false","54.40000000","10.35000000","Germany","Krokau","Schleswig-Holstein",,"11"
"085BEV","Bevern","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","53.75223140","9.72959050","Germany","Bevern","Schleswig-Holstein",,"11"
"085BRE","Breiholz","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.20000000","9.53333300","Germany","Breiholz","Schleswig-Holstein",,"11"
"085DEL","Delve","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.31222710","9.18174960","Germany","Delve","Schleswig-Holstein",,"11"
"085FRE","Freiburg","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","53.82969190","9.21356080","Germany","Freiburg","Lower Saxony",,"11"
"085GLU","Glückstadt","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","53.78333300","9.41666600","Germany","Glückstadt","Schleswig-Holstein",,"11"
"085OSL","Osterziel","Hertugdømmerne","2","North Sea (German/Danish coast)","2","Holstein","true","54.51805500","8.68611100","Germany","Ostersiel","Schleswig-Holstein",,"11"
